SITENAME	SITEID	Local Authority	Filename including path
Scutter Hill Quarry	3.49	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.49 Scutter Hill Quarry.pdf
Harehope Quarry	3.5	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.5 Harehope Quarry.pdf
Willington South Dene	3.50	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.50 Willington South Dene.pdf
Escomb Lake	3.51	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.51 Escomb lake.pdf
Escomb Wood	3.53	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.53 Escomb Wood.pdf
Greenfoot Quarry	3.54	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.54 Greenfoot Quarry.pdf
Wolsingham North Moor	3.55	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.55 Wolsingham North Moor.pdf
Newhouse to Middlehope Road Verge	3.56	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.56 Newhouse to Middlehope Road Verge.pdf
Killhope Wheel	3.6	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.6 Killhope Wheel.pdf
Stanley Moss	3.7	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.7 Stanley Moss.pdf
Wiserley Hall	3.8	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.8 Wiserley Hall.pdf
Red Burn Tributaries	4.1	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Red Burn Tributaries - 4.1.pdf
Pelaw Wood	4.10	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Pelaw Wood -4.10.pdf
Hoppers Wood	4.11	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Hoppers Wood -4.11.pdf
Langley Fur Farm Pond	4.12	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Langley Fur Farm Pond -4.12.pdf
Saltwell Gill Wood	4.13	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Saltwell Gill Wood -4.13.pdf
Pittington Hill	4.14	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Pittington Hill -4.14.pdf
Coalford Beck Marsh	4.15	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Coalford Beck Marsh -4.15.pdf
Sherburn Hill (1)	4.16	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Sherburn Hill -4.16.pdf
Sherburn Hill (2)	4.16	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Sherburn Hill -4.16.pdf
Elemore Woods (1)	4.17	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Elemore Woods -4.17.pdf
Elemore Woods (2)	4.17	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Elemore Woods -4.17.pdf
Silent Bank (Road Verge)	4.18	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Silent Bank - Road verge -4.18.pdf
Shadforth Dene	4.19	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Shadforth Dene -4.19.pdf
Bearpark Bog	4.2	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Bearpark Bog -4.2.pdf
Quarrington Hill and Coxhoe Bank Plantation	4.20	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Quarrington Hill and Coxhoe Bank -4.20.pdf
Kelloe Plantation	4.21	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Kelloe Plantation -4.21.pdf
Newton Hall Junction	4.22	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Newton Hall Junction -4.22.pdf
"Houghall, Maiden Castle and Little High  Woods (2)"	4.23	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Houghall-Maiden Castle-Little High Woods -4.23.pdf
"Houghall, Maiden Castle and Little High Woods (1)"	4.23	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Houghall-Maiden Castle-Little High Woods -4.23.pdf
Frankland Pond	4.24	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Frankland Pond -4.24.pdf
North Wood	4.25	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\North Wood -4.25.pdf
Framwellgate Moor Carrs	4.26	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Framwellgate Moor Carrs -4.26.pdf
Baxter Wood	4.27	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Baxter Wood -4.27.pdf
Deerness Valley (1)	4.28	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Deerness Valley -4.28.pdf
Deerness valley (2)	4.28	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Deerness Valley -4.28.pdf
Flass Vale	4.29	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Flass Vale -4.29.pdf
The Scroggs	4.3	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\The Scroggs -4.3.pdf
Sherburn Hospital	4.30	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Sherburn Hospital -4.30.pdf
Oxclose	4.31	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Oxclose -4.31.pdf
Raisby Pond	4.33	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Raisby Pond -4.33.pdf
Stockley Beck Meadow	4.34	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Stockley Beck Meadow -4.34.pdf
Lowe's Barn	4.35	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Lowe's Barn -4.35.pdf
Coxhoe Ponds	4.37	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Coxhoe Ponds -4.37.pdf
Shincliffe Pit Heap	4.38	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Shincliffe Pit Heap -4.38.pdf
Blaids Wood	4.39	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Blaids Wood -4.39.pdf
Redhouse Wood and Former Munition Store	4.4	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Redhouse Wood and former Munitions Store -4.4.pdf
Ludworth Pit Heap	4.40	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Ludworth Pit Heap -4.40.pdf
Shincliffe Wood	4.41	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Shincliffe Wood -4.41.pdf
