SITENAME	SITEID	Local Authority	Filename including path
"River Don, New Road"	34	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\River Don New Road.pdf
"River Don, North Road"	35	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\River Don North Road.pdf
River Don Salt Marsh	36	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\River Don Saltmarsh (ST33).pdf
"River Don, West Boldon"	37	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\River Don West Boldon.pdf
South Marine Park Lake	38	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\South Marine Park Lake (ST3).pdf
South Shields Dunes	39	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\South Shields Dunes (ST2).pdf
Boldon Crossings Pond	4	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Boldon Crossings Pond (ST25).pdf
Station Burn	40	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Station Burn Boldon Colliery (ST30).pdf
Straker Street	41	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Straker Street.pdf
Strother House Farm	42	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Strother House Farm (ST18).pdf
Temple Park East	43	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Temple Park East.pdf
Temple Park West	44	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Temple Park West.pdf
The Leas	45	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\The Leas.pdf
Tilesheds Burn	46	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Tilesheds Burn (ST28).pdf
Tilesheds Local Nature Reserve	47	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Tilesheds Nature Reserve (ST27).pdf
Turner's Hill	48	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Turners Hill.pdf
Undercliffe Pond	49	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Undercliffe Pond (ST11).pdf
Boldon Flats North	5	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Boldon Flats (ST20).pdf
Boldon Flats South	5	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Boldon Flats (ST20).pdf
Boldon Flats West	5	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Boldon Flats (ST20).pdf
Wardley Colliery	50	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Wardley Collliery.pdf
Whitburn Firing Range	51	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Whitburn Firing Range.pdf
Whitburn Point	52	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Whitburn Point (ST7).pdf
Boldon Lake	6	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Boldon Lake (ST13).pdf
Calf Close Burn	7	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Calf Close Burn (ST37).pdf
Cemetary Road	8	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Cemetery Road.pdf
Cleadon Hill Cliffs	9	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Cleadon Hill Cliffs (ST38).pdf
Barmston Pond	SN1	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\1 Barmston Pond.pdf
Copt Hill	SN10	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\10 Copt Hill.pdf
Downhill Meadows	SN11	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\11 Downhill Meadows.pdf
Elemore Golf Course	SN12	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\12 Elemore Golf Course.pdf
Elemore Vale	SN13	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\13 Elemore Vale.pdf
Eppleton Quarry	SN14	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\14 Eppleton Quarry.pdf
Eppleton Railway	SN15	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\15 Eppleton Railway.pdf
Follingsby Pond/River Don Streambank	SN16	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\16 Follingsby Pond River Don Streambank.pdf
Foxcover Plantation	SN17	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\17 Foxcover Plantation.pdf
Fulwell Meadows	SN18	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\18 Fulwell Meadows.pdf
General's Wood	SN19	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\19 Generals wood.pdf
Barons Quay Wood and Barons Quay	SN2	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\2 Barons Quay Wood and Barons Quay.pdf
Grimestone Banks	SN20	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\20 Grimestone Banks.pdf
Halliwell Banks	SN21	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\21 Halliwell Banks.pdf
Hendon Cliffs	SN22	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\22 Hendon Cliffs.pdf
Hendon Railway	SN23	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\23 Hendon Railway.pdf
Herrington Hill Woodland	SN24	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\24 Herrington Hill Woodland.pdf
Hetton Bogs West	SN25	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\25 Hetton Bogs West.pdf
Hetton Lyons	SN26	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\26 Hetton Lyons.pdf
Hetton Park	SN27	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\27 Hetton Park.pdf
Houghton Hill Cut and Scarp	SN28	Sunderland	"C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\28 Houghton Hill, Cut and Scarp.pdf"
Hylton Castle Grassland	SN29	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\29 Hylton Castle Grassland.pdf
Blakeney Woods	SN3	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\3 Blakeney Woods.pdf
Hylton Colliery Pond	SN30	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\30 Hylton Colliery Pond.pdf
Hylton Dene	SN31	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\31 Hylton Dene.pdf
Hylton Plantation	SN32	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\32 Hylton Plantation.pdf
James Steel Park: Mount Pleasant Riverside	SN33	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\33 James Steel Park.pdf
James Steel Park: Pattinson South Pond	SN34	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\34 James Steel Park_Pattinson S Pond.pdf
Mere Knolls Cemetery	SN35	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\35 Mere Knolls Cemetery.pdf
Mowbray Park	SN36	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\36 Mowbray Park.pdf
Newport Dene	SN37	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\37 Newport Dene and Tunstall hill.pdf
Newport Railway Cutting	SN38	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\38 Newport Railway Cutting.pdf
North Dock Tufa	SN39	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\39 North Dock Tufa.pdf
Burdon Dene	SN4	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\4 Burdon Dene.pdf
Peepy Plantation	SN40	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\40 Peepy Plantation.pdf
Penshaw Hill	SN41	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\41 Penshaw Hill.pdf
Penshaw Pallion Railway	SN42	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\42 Penshaw Pallion Railway.pdf
Penshaw Wood	SN43	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\43 Penshaw Wood.pdf
Princess Anne Park	SN44	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\44 Princess Anne Park.pdf
Rainton Meadows	SN45	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\45 Rainton Meadows.pdf
Redburn Marsh	SN46	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\46 Redburn Marsh.pdf
Robin House and Moorsley Marsh	SN47	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\47 Robin House Wood_Moorsley Marsh.pdf
Roker Cliffs and Parson's Rocks	SN48	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\48 Roker Cliffs_Parsons Rocks.pdf
Rough Dene	SN49	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\49 Rough Dene.pdf
Carr Hill	SN5	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\5 Carr Hill.pdf
Ryhope Dene	SN51	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\51 Ryhope Dene.pdf
Ryhope Denemouth	SN52	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\52 Ryhope Denemouth.pdf
Ryhope Dene Railway Cutting	SN53	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\53 Ryhope Dene Railway Cutting.pdf
Severn Houses	SN54	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\54 Severn Houses.pdf
South Hylton Dene	SN55	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\55 South Hylton Dene.pdf
Springwell Ponds	SN56	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\56 Springwell Ponds.pdf
Sunderland South Docks	SN57	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\57 Sunderland South Docks.pdf
Tilesheds	SN58	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\58 Tilesheds.pdf
Timber Beach	SN59	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\59 Timber Beach.pdf
Cherry Knowle Dene	SN6	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\6 Cherry Knowle Dene-ds.pdf
Usworth Pond	SN60	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\60 Usworth Pond.pdf
Vigo Wood and Railway Embankment	SN61	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\61 Vigo Wood and Railway Embankment.pdf
Warden Law Quarry	SN62	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\62 Warden Law Quarry.pdf
Washington Western Highway	SN63	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\63 Washington Western Highway.pdf
Washington Wildfowl and Wetlands Centre	SN64	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\64 Washington Wildfowl_Centre.pdf
Wearmouth Riverside Park/Wearmouth Colliery	SN65	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\65 Wearmouth Riverside Park and Colliery.pdf
Wearmouth Riverside Park/Wearmouth Colliery(2)	SN65	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\65 Wearmouth Riverside Park and Colliery.pdf
Wear River Bank Woods	SN66	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\66 Wear River Bank Woods.pdf
Whitburn Bents	SN67	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\67 Whitburn Bents.pdf
Whitburn Steel Rocks	SN68	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\68 Whitburn Steel Rocks.pdf
Willows Pond (formerly Newall's Pond)	SN69	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\69 Willows Pond.pdf
Claxheugh Riverside	SN7	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\7 Claxheugh Riverside.pdf
Worm Hill	SN70	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\70 Worm Hill.pdf
The Clouds	SN8	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\8 The Clouds.pdf
Colbeck Burn	SN9	Sunderland	C:\ERIC\LWS Citations\Durham\LWS Citations\Sunderland\PDf\9 Colbeck Burn.pdf
"Coalway, Hazel and Jacky's Plantation Extension"	GAT 999	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT999 Coalway Plantation LWS citation.pdf
Fell Farm (Extenstion)	GAT 50	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT50 Fell Farm.pdf
Friars Goose	GAT 154	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT154 Friars Goose LWS citation.pdf
Low Guards Wood	GAT 155	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT155 Low Guards Wood LWS citation.pdf
River Derwent Extension	GAT 156	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT156 River Derwent LWS citation.pdf
River Don	GAT 157	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT157 River Don LWS citation.pdf
River Team Extension	GAT 158	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT158 River Team LWS citation.pdf
River Tyne Extension	GAT 159	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT159 River Tyne LWS citation.pdf
Team Colliery	GAT 160	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT160 Team Colliery LWS citation.pdf
The Folly	GAT 161	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT161 The Folly LWS citation.pdf
Twenty Pound Close	GAT 162	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT162 Twenty Pound Close Wood LWS citation.pdf
West Kyo Farm	GAT 163	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT163West Kyo Farm Pasture LWS citation.pdf
Wardley Manor	GAT 79	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT79 Wardley Manor LWS citation.pdf
